StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q54,pos1,pos2,pos3,pos4,pos5,inc1,inc2,inc3,inc4,neut1,neut2,neut3,neut4,neut5,Data Sharing Fundame,datashare_opinion,datashare_behavior,datashare_b_percent_1,datashare_b_first_1,datashare_b_whynot,datashare_b_whynot_17_TEXT,datashare_b_others_1,datasure_o_others_1,datasure_o_others_2,datasure_o_others_3,datasure_o_others_4,datasure_o_others_5,Preregistration Fund,prereg_opinion,prereg_behavior,prereg_b_percent_1,prereg_p_first_1,prereg_b_whynot,prereg_b_whynot_14_TEXT,prereg_b_hesitate,prereg_b_hesitate_14_TEXT,prereg_b_future,prereg_b_future_14_TEXT,prereg_b_others_1,prereg_o_others_1,prereg_o_others_2,prereg_o_others_3,prereg_o_others_4,prereg_o_others_5,Q4,OA_opinion,OA_behavior,OA_b_percent_1,OA_b_when_1,OA_b_whynot,OA_b_whynot_12_TEXT,OA_b_hesitate,OA_b_hesitate_12_TEXT,OA_b_future,OA_b_future_12_TEXT,OA_b_others_1,OA_o_others_1,OA_o_others_2,OA_o_others_3,OA_o_others_4,OA_o_others_5,Q14,replication_opinion,replication_behavior,replication_b_percen_1,replication_b_when_1,replication_b_whynot,replication_b_whynot_13_TEXT,rep_b_hesitate,rep_b_hesitate_13_TEXT,rep_b_future,rep_b_future_13_TEXT,rep_b_others_1,rep_o_others_1,rep_o_others_2,rep_o_others_3,rep_o_others_4,rep_o_others_5,years,gender,gender_3_TEXT,identifyResearch,identifyScience,discipline,qualquant,method,qualquantField_1,qualquantField_2,comments
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I agree to participate in the study,Use of the scientific method is the only certain way to determine what is true or false about the world,The advance of knowledge is a linear process driven by key experiments,Science provides objective knowledge about the world,Facts describe true states of affairs about the world,"For most scientific questions, there is only one correct answer",The scientific community is mostly dominated by white men and is often unfriendly to minority people,The scientific community is mostly dominated by men and is often unfriendly to women,"In the current scientific community, women are welcome in science just as much as men are","In the current scientific community, African Americans and other minority people are just as welcome in the scientific community as white people are",The questions researchers choose to study are influenced by social and political contexts.,"No matter the topic, researchers can make objective conclusions if they follow the scientific method strictly.",The idea of “complete neutrality” in science is unrealistic.,Research produced by people with a personal stake in the topic is less reliable than research from people without such a stake.,Scientists who openly advocate for a cause cannot produce trustworthy research on that cause.,"The following questions are about sharing data. Please review the definitions.


Data: Qualitative, quantitative, or textual information upon which the study was conducted. Data can be ""raw,"" meaning in the form it was collected, or ""cleaned"" or “prepared,” meaning corrected for errors or transformed into a new form for analysis (e.g., preprocessing) or sharing (e.g., anonymization).",What is your opinion of sharing data?,Think about your most recent scholarly work that used data. Are data for that scholarly work shared?,"In your estimation, what percentage of the scholarly works you have authored or co-authored have shared data? - 0%",Approximately when was the first time you shared data?,Why not? Check all that apply - Selected Choice,Why not? Check all that apply - Other: - Text,"In your estimation, what percentage of researchers across your discipline have shared data?","In your estimation, what is the distribution of opinion across your discipline about sharing data? 

In other words, what percentage of researchers fall into each opinion category listed below from very much against sharing to very much in favor of sharing? The final number should add up to 100. - Very much in favor","In your estimation, what is the distribution of opinion across your discipline about sharing data? 

In other words, what percentage of researchers fall into each opinion category listed below from very much against sharing to very much in favor of sharing? The final number should add up to 100. - Somewhat in favor","In your estimation, what is the distribution of opinion across your discipline about sharing data? 

In other words, what percentage of researchers fall into each opinion category listed below from very much against sharing to very much in favor of sharing? The final number should add up to 100. - Neither in favor nor against","In your estimation, what is the distribution of opinion across your discipline about sharing data? 

In other words, what percentage of researchers fall into each opinion category listed below from very much against sharing to very much in favor of sharing? The final number should add up to 100. - Somewhat against","In your estimation, what is the distribution of opinion across your discipline about sharing data? 

In other words, what percentage of researchers fall into each opinion category listed below from very much against sharing to very much in favor of sharing? The final number should add up to 100. - Very much against","The following questions are about preregistration. Please review the definitions.


Preregistration: Preregistration refers to submitting the study, analysis plans, or predictions in an independent study registry prior to observing the study outcomes. Examples include description of new studies before data collection has occurred; planned analyses of previously collected datasets before examining the outcomes; commitment to a model specification after training and before application to a test, validation, or hold-out dataset; specification of the planned approach for a qualitative study.",What is your opinion of preregistration?,Think about your most recent scholarly work reporting research. Did the scholarly work include a preregistered study?,Approximately what percentage of the scholarly works you have authored or co-authored include preregistered studies?,Approximately when was the first time you preregistered a study?,Why not? Check all that apply - Selected Choice,Why not? Check all that apply - Other: - Text,Did any of the following reasons make you hesitate before preregistering? Check all that apply - Selected Choice,Did any of the following reasons make you hesitate before preregistering? Check all that apply - Other: - Text,"If you conduct studies in the future, which of the following are reasons that might make you not preregister? Check all that apply - Selected Choice","If you conduct studies in the future, which of the following are reasons that might make you not preregister? Check all that apply - Other: - Text","In your estimation, what percentage of researchers across your discipline have preregistered a study?","In your estimation, what is the distribution of opinion across your discipline about preregistration?



In other words, what percentage of researchers fall into each opinion category listed below from very much against preregistration to very much in favor of preregistration? The final number should add up to 100. - Very much in favor","In your estimation, what is the distribution of opinion across your discipline about preregistration?



In other words, what percentage of researchers fall into each opinion category listed below from very much against preregistration to very much in favor of preregistration? The final number should add up to 100. - In favor","In your estimation, what is the distribution of opinion across your discipline about preregistration?



In other words, what percentage of researchers fall into each opinion category listed below from very much against preregistration to very much in favor of preregistration? The final number should add up to 100. - Neither in favor nor against","In your estimation, what is the distribution of opinion across your discipline about preregistration?



In other words, what percentage of researchers fall into each opinion category listed below from very much against preregistration to very much in favor of preregistration? The final number should add up to 100. - Against","In your estimation, what is the distribution of opinion across your discipline about preregistration?



In other words, what percentage of researchers fall into each opinion category listed below from very much against preregistration to very much in favor of preregistration? The final number should add up to 100. - Very much against","The following questions are about open access publishing. Please review the definition.


Open Access: Papers, chapters, books, or other scholarly works that are publicly available with minimal barriers to access. For example, papers that can be viewed or downloaded online without registration, payment, or approval. This includes all forms of open access such as “green” in which the final manuscript version (post peer review, often called a “postprint”) is shared in a repository and “gold” in which the typeset version is made openly accessible in the journal.",What is your opinion of open access publishing?,Think about the most recent scholarly work that you published. Did you publish it open access?,Approximately what percentage of the scholarly works you have authored or co-authored are published open access?,Approximately when was the first time you published open access?,Why not? Check all that apply - Selected Choice,Why not? Check all that apply - Other: - Text,Did any of the following reasons make you hesitate before publishing open access? Check all that apply - Selected Choice,Did any of the following reasons make you hesitate before publishing open access? Check all that apply - Other: - Text,"If you publish a scholarly work in the future, which of the following are reasons that might make you not publish it open access? Check all that apply - Selected Choice","If you publish a scholarly work in the future, which of the following are reasons that might make you not publish it open access? Check all that apply - Other: - Text","In your estimation, what percentage of researchers across your discipline have published open access?","In your estimation, what is the distribution of opinion across your discipline about open access publishing?



In other words, what percentage of researchers fall into each opinion category listed below from very much against open access publishing to ver/y much in favor of open access publishing? The final number should add up to 100. - Very much in favor","In your estimation, what is the distribution of opinion across your discipline about open access publishing?



In other words, what percentage of researchers fall into each opinion category listed below from very much against open access publishing to ver/y much in favor of open access publishing? The final number should add up to 100. - In favor","In your estimation, what is the distribution of opinion across your discipline about open access publishing?



In other words, what percentage of researchers fall into each opinion category listed below from very much against open access publishing to ver/y much in favor of open access publishing? The final number should add up to 100. - Neither in favor nor against","In your estimation, what is the distribution of opinion across your discipline about open access publishing?



In other words, what percentage of researchers fall into each opinion category listed below from very much against open access publishing to ver/y much in favor of open access publishing? The final number should add up to 100. - Against","In your estimation, what is the distribution of opinion across your discipline about open access publishing?



In other words, what percentage of researchers fall into each opinion category listed below from very much against open access publishing to ver/y much in favor of open access publishing? The final number should add up to 100. - Very much against","The following questions are about replication. Please review the definition. 

Replication: Testing the same claim from a prior study with different data.",What is your opinion of replication studies?,Think about your most recent scholarly work reporting research. Did the scholarly work report a replication study?,Approximately what percentage of the scholarly works you have authored or co-authored include replication studies?,Approximately when was the first time you conducted a replication study?,Why not? Check all that apply. - Selected Choice,Why not? Check all that apply. - Other: - Text,Did any of the following reasons make you hesitate before including a replication study? Check all that apply. - Selected Choice,Did any of the following reasons make you hesitate before including a replication study? Check all that apply. - Other: - Text,"If you have a scholarly work reporting research in the future, which of the following are reasons that might make you not include a replication study? 

Check all that apply - Selected Choice","If you have a scholarly work reporting research in the future, which of the following are reasons that might make you not include a replication study? 

Check all that apply - Other: - Text","In your estimation, what percentage of researchers across your discipline have reported a replication study? - 0%","In your estimation, what is the distribution of opinion across your discipline about replication studies?



In other words, what percentage of researchers fall into each opinion category listed below from Very much in favor replication to Very much against replication? The final number should add up to 100. - Very much in favor","In your estimation, what is the distribution of opinion across your discipline about replication studies?



In other words, what percentage of researchers fall into each opinion category listed below from Very much in favor replication to Very much against replication? The final number should add up to 100. - In favor","In your estimation, what is the distribution of opinion across your discipline about replication studies?



In other words, what percentage of researchers fall into each opinion category listed below from Very much in favor replication to Very much against replication? The final number should add up to 100. - Neither in favor nor against","In your estimation, what is the distribution of opinion across your discipline about replication studies?



In other words, what percentage of researchers fall into each opinion category listed below from Very much in favor replication to Very much against replication? The final number should add up to 100. - Against","In your estimation, what is the distribution of opinion across your discipline about replication studies?



In other words, what percentage of researchers fall into each opinion category listed below from Very much in favor replication to Very much against replication? The final number should add up to 100. - Very much against","How many years have you been doing research or scholarship in your field? (For example, if you are a graduate student and are in year 3, and you were a research assistant for 2 years, you would put '5')",How do you identify in terms of gender identity? - Selected Choice,How do you identify in terms of gender identity? - Other - Text,"How much do you identify (i.e., it's an important part of 'who you are') with being a researcher in your field?",How much do you identify with being a scientist?,What discipline did you get your PhD in?,What type of research do you primarily conduct? Just list what you do more of.,"Please describe the method you typically use in your research e.g., experimental design, big data, ethnography etc",What would you say is the proportion of Qualitative to Quantitative research in your discipline? The final number should add up to 100. - Qualitative,What would you say is the proportion of Qualitative to Quantitative research in your discipline? The final number should add up to 100. - Quantitative,"If you have any final comments, please put them here!"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_17_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID34""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID66_14_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_14_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_14_TEXT""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID70_3""}","{""ImportId"":""QID70_4""}","{""ImportId"":""QID70_5""}","{""ImportId"":""QID1219071367""}","{""ImportId"":""QID1219071368""}","{""ImportId"":""QID1219071371""}","{""ImportId"":""QID1219071369_1""}","{""ImportId"":""QID1219071370_1""}","{""ImportId"":""QID71""}","{""ImportId"":""QID71_12_TEXT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID72_12_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID73_12_TEXT""}","{""ImportId"":""QID1219071374_1""}","{""ImportId"":""QID1219071375_1""}","{""ImportId"":""QID1219071375_2""}","{""ImportId"":""QID1219071375_3""}","{""ImportId"":""QID1219071375_4""}","{""ImportId"":""QID1219071375_5""}","{""ImportId"":""QID1219071376""}","{""ImportId"":""QID1219071377""}","{""ImportId"":""QID1219071380""}","{""ImportId"":""QID1219071378_1""}","{""ImportId"":""QID1219071379_1""}","{""ImportId"":""QID1219071381""}","{""ImportId"":""QID1219071381_13_TEXT""}","{""ImportId"":""QID1219071382""}","{""ImportId"":""QID1219071382_13_TEXT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID74_13_TEXT""}","{""ImportId"":""QID1219071384_1""}","{""ImportId"":""QID1219071385_1""}","{""ImportId"":""QID1219071385_2""}","{""ImportId"":""QID1219071385_3""}","{""ImportId"":""QID1219071385_4""}","{""ImportId"":""QID1219071385_5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID77_3_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID76""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID106_TEXT""}"
12/10/25 9:32,12/10/25 9:37,IP Address,*******,100,244,TRUE,12/10/25 9:37,R_3NLYM6B892IN3KF,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither in favor nor against,No,,,"I didn't want others to use the data for their own research,The data were too difficult to anonymize (human subjects),I was nervous that someone would discover a mistake",,10,34,0,65,1,0,,Against,No,,,"It was too time consuming,I didn’t perceive my field to be in favor of this,My collaborators were opposed to doing it,I was worried it would reduce publishability of my findings",,,,,,20,12,0,0,0,88,,Very much in favor,Yes,70,2020,,,"I didn’t perceive my field to be in favor of this,Given the nature of the research, it was almost not possible,Journal policy almost prevented it",,,,50,100,0,0,0,0,,In favor,No,,,I was unfamiliar with the practice,,,,,,4,0,0,0,100,0,5,Man,,A little,Not at all,Environment ,Qualitative,,92,8,
12/10/25 9:30,12/10/25 9:38,IP Address,*******,100,461,TRUE,12/10/25 9:38,R_6xmPmXDQZG2gFKF,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,In favor,Yes,100,2023,,,20,14,31,38,14,3,,Neither in favor nor against,Yes,33,2023,,,"It didn’t seem relevant for my work,My collaborators were opposed to doing it,I was worried it would reduce publishability of my findings",,,,71,18,34,45,2,1,,Very much in favor,No,,,Journal policy prevented it,,,,,,27,18,33,39,10,0,,Very much in favor,No,,,"I didn’t perceive my field to be in favor of this,It didn’t seem relevant for my work,I couldn’t access the necessary data, materials, or code",,,,,,35,10,31,48,8,3,5,Woman,,A moderate amount,A moderate amount,Psychology,Quantitative,Longitudinal ,10,90,
12/10/25 9:33,12/10/25 9:39,IP Address,*******,100,374,TRUE,12/10/25 9:39,R_3j1hyhKeV9YiHrb,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Very much in favor,Yes,31,2025,,,51,70,13,7,5,5,,Neither in favor nor against,Yes,14,2023,,,It was too time consuming,,,,35,40,30,10,10,10,,In favor,Yes,50,2025,,,I didn’t have sufficient resources available,,,,52,40,30,10,10,10,,In favor,No,,,I didn’t think it was important,,,,,,14,40,30,10,10,10,3,Man,,A great deal,A lot,political science,Quantitative,"observational quantitative data, surveys",40,60,"I think that people are always for more transparency, but i fail to see any costs presented (costs of open access, relevance of replication, etc)"
12/10/25 9:32,12/10/25 9:39,IP Address,*******,100,446,TRUE,12/10/25 9:39,R_3sDQjZqFHmWzCVz,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,,Very much in favor,No,,,I was unfamiliar with the practice,,85,65,25,6,4,0,,In favor,No,,,I was unfamiliar with the practice,,,,,,30,26,35,14,5,20,,Very much in favor,Yes,100,2024,,,,,,,70,67,20,5,3,5,,Very much in favor,No,,,I didn’t have sufficient resources available,,,,,,64,70,20,0,10,0,3,Man,,A great deal,A moderate amount,Actively obtaining a political science PhD.,Quantitative,Big data with designs based in causal inference. ,25,75,
12/10/25 9:30,12/10/25 9:40,IP Address,*******,100,576,TRUE,12/10/25 9:40,R_1FmSBSK2t6AY3Xi,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,,Very much in favor,Yes,100,2024,,,50,10,20,45,20,5,,In favor,Yes,65,2022,,,"I was unfamiliar with the practice,My collaborators were opposed to doing it",,,,19,25,10,40,5,20,,Very much in favor,Yes,100,2024,,,,,,,50,30,60,10,0,0,,Very much in favor,No,,,It didn’t seem relevant for my work,,,,,,20,50,30,10,5,5,6,Woman,,A lot,A little,Political Science ,Quantitative,"Experimental designs, GLM/observational data",80,20,
12/10/25 9:35,12/10/25 9:40,IP Address,*******,100,301,TRUE,12/10/25 9:40,R_6Ujd3bQOyVFiyYx,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,Neither in favor nor against,No,,,The data were too difficult to anonymize (human subjects),,20,0,0,100,0,0,,Neither in favor nor against,No,,,"I didn’t perceive my field to be in favor of this,I was unfamiliar with the practice,I didn’t know of a suitable registry,I won’t be rewarded for it",,,,,,5,0,0,100,0,0,,Very much in favor,No,,,I didn’t have sufficient resources available,,,,,,15,100,0,0,0,0,,In favor,No,,,"Given the nature of the research, it was not possible",,,,,,10,0,50,0,0,50,6,Woman,,A lot,Not at all,pursuing PhD in education,Qualitative,teaching experiment,60,40,
12/10/25 9:35,12/10/25 9:40,IP Address,*******,100,341,TRUE,12/10/25 9:40,R_7jIkDzXsipRnSA9,*******,*******,*******,*******,*******,*******,email,EN,Yes,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,Very much in favor,I do not have a scholarly work that used data,,,,,,33,38,14,13,2,,Very much in favor,I do not have a scholarly work reporting studies,,,,,,,Other:,I do philosophy,,65,35,0,0,0,,Very much in favor,Yes,10,2025,,,I didn’t have sufficient resources available,,,,35,50,30,10,5,5,,Very much in favor,I do not have a scholarly work reporting relevant research,,,,,,,Other:,I do philosophy,,69,20,5,5,1,20,Man,,A lot,Not at all,Political Science,Qualitative,normative argument (I do political philosophy),96,4,I am referring to political philosophy in all my answers
12/10/25 9:32,12/10/25 9:40,IP Address,*******,100,493,TRUE,12/10/25 9:40,R_7tfAnmrGzxrx5pD,*******,*******,*******,*******,*******,*******,email,EN,Yes,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,,Very much in favor,Yes,70,2006,,,50,40,20,20,20,0,,Neither in favor nor against,No,,,I was unfamiliar with the practice,,,,,,0,0,0,100,0,0,,Very much in favor,No,,,I didn’t have sufficient resources available,,,,,,30,20,40,40,0,0,,Very much in favor,No,,,"Given the nature of the research, it was not possible",,,,,,40,80,20,0,0,0,25,Man,,A lot,A moderate amount,Anthropology,Quantitative,Assemblage-level Descriptive Analysis,30,70,
