ResponseId,comments,survey-sentiment,design-issue,measurement-construct,implementation-Issue,clarification-of-entry,request-for-followup,topic-cost,topic-field-specific,topic-os-opinion,topic-sci-val
R_3j1hyhKeV9YiHrb,"I think that people are always for more transparency, but i fail to see any costs presented (costs of open access, relevance of replication, etc)",,,,,,,,,,
R_7jIkDzXsipRnSA9,I am referring to political philosophy in all my answers,,,,,general,,,,,
R_1TVALkJYGtgpXPP,"I found it difficult to estimate the distribution of opinions in my discipline. I have low confidence in my estimates, and I would not trust those numbers if I were in your shoes. 

Apart from that, good luck with your study!",positive,,,,uncertainty,,,,,
R_6DAVAhLai5Z99YY,Some of these questions are hard to answer because it might depend on the study being done,,,general,,,,,,,
R_5CIWNnWLVqBJc4z,I had a really hard time estimating the percentages per topic because honestly these conversations aren’t happening in my sociology circles,,,general,,,,,,,
R_1HsGQth3b8BJoNH,Good luck with your research!,positive,,,,,,,,,
R_3EQNjBgMOzmK8Ut,The numbers i put on the sliders are SWAG.  I have no idea what the numbers really are.,,,,,uncertainty,,,,,
R_6CsiN8IXDieghNp,"Pre-registration seems to benefit high-resource scholars a lot more. They can still preregister endlessly and only publish the preregistrations that ""worked.""",negative,,,,,,cost,,os,
R_5B5IgwV43ZXfI52,I am not sure this survey is relevant to me- it appears the questions are built primarily for those in STEM.,negative,conceptual-stem,,,,,,field,,
R_7dGEHpTz3wl2etm,I work with a facility that operates under a NSF grant so all of the data collected here ultimately becomes open access after 2 years,,,,,,,,,,
R_6YbN71DQbEuv2oz,"The numeric question for years as a researcher seems weird to me when there is no other identifying question for type of researcher. Also, the open access costs are unbelievable. It’s virtually never worth that money. Also, Neil degrasse Tyson famously said “in science when human behavior enters the equation things go nonlinear. That’s why physics is easy and sociology is hard.” The mores of science method as written are good for cultivating knowledge but largely unsuited for many of the questions I’m trying to answer. What’s more is that they arent practiced as written or credited.  And it’s really annoying putting up with hard-scientists who have not truly considered this problem talk about themselves as the only ones making new knowledge. Even if I conducted studies such that these data availability tools and registration were done, the hard-science interlocutor is not going to take it seriously as the cutting edge of our understanding on a topic. It’s a bar for gatekeeping a club for dweebs and not worth my time.",negative,,,,,,cost,,,
